#separator:Comma
#html:false
#notetype:AllInOne (kprim, mc, sc)
#deck:Kubernetes
"Text","Q_1","Q_2","Q_3","Q_4","Q_5","Answers","QType","Tags"
"Qual é o primeiro passo obrigatório ao configurar um cluster Kubernetes antes de instalar qualquer componente?","Desabilitar a memória swap","Instalar o containerd","Configurar o firewalld","Instalar o kubeadm","","1 0 0 0","2","teste"
"Qual é a função principal do parâmetro --apiserver-advertise-address ao executar kubeadm init?","Definir o CIDR dos pods no cluster","Definir a interface de rede padrão que o cluster irá trabalhar","Habilitar a comunicação com workers","Configurar o tempo de timeout para pods","","0 1 0 0","2","teste"
"O que é CNI (Container Network Interface) no contexto do Kubernetes?","Um serviço de gerenciamento de armazenamento de dados","Um plugin que fornece rede para os pods do cluster","Um componente de segurança do control plane","Uma ferramenta para monitorar o desempenho do cluster","","0 1 0 0","2","teste"
"Qual comando é usado para obter um token de autenticação que permite que workers ingressem no cluster?","kubectl get token","kubeadm token list","kubeadm token create --print-join-command","kubectl create authentication-token","","0 0 1 0","2","teste"
"Qual é a diferença entre readiness probe e liveness probe no Kubernetes?","Readiness verifica se o pod pode receber tráfego, liveness verifica se o pod precisa ser reiniciado","Liveness monitora o uso de memória, readiness monitora o uso de CPU","Readiness controla o scaling automático, liveness controla o acesso de rede","Não existe diferença entre os dois, são sinônimos","","1 0 0 0","2","teste"
"O que são StaticPods no Kubernetes?","Pods que são criados e gerenciados pelo API server como pods normais","Pods vinculados a um node específico que são lidos do diretório /etc/kubernetes/manifests","Pods que não podem ser deletados após serem criados","Pods que possuem recursos fixos e não podem sofrer scaling","","0 1 0 0","2","teste"
"Qual é a principal função de um DaemonSet no Kubernetes?","Executar um pod em cada node do cluster garantindo um por node","Criar múltiplas réplicas de um pod em um único node","Gerenciar o rolling update de deployments","Monitorar o uso de recursos do cluster","","1 0 0 0","2","teste"
"Qual é a diferença entre os parâmetros 'requests' e 'limits' em um deployment Kubernetes?","Requests definem o máximo, limits definem o mínimo de recursos","Requests são pré-requisitos de recursos, limits são o máximo que pode ser utilizado","Limits são apenas para memória, requests são apenas para CPU","Ambos definem exatamente a mesma coisa, são sinônimos","","0 1 0 0","2","teste"
"O que significa kubectl rollout undo deployment/web-server?","Pausa o deployment para futuras atualizações","Volta o deployment para a revisão anterior","Remove permanentemente o deployment do cluster","Reinicia todos os pods do deployment","","0 1 0 0","2","teste"
"Qual é o arquivo ou diretório usado para configurar o etcdctl com as credenciais necessárias para autenticação?","/etc/kubernetes/pki/etcd/ onde estão os certificados ca.crt, server.crt e server.key","/var/lib/etcd/ onde é feito o backup do banco de dados","/etc/sysctl.d/k8s.conf onde estão as configurações de rede","/etc/containerd/config.toml onde estão as configurações do runtime","","1 0 0 0","2","teste"
